"Name","ID","seed","eps","velocity-mu","val-size","test.accuracy.top1","frozen_neurons_perc.total"
"swift-sweep-6","bn0s1sez","3","0.001","0.9","0.1","0.927","98.33479404031551"
"legendary-sweep-2","drik0xnp","0","0.001","0.9","0.1","0.9266","98.20333041191935"
"sparkling-sweep-4","w3fdj04j","1","0.001","0.9","0.1","0.9236","97.72129710780018"
"flowing-sweep-4","wcl4ls61","2","0.001","0.9","0.1","0.9238","98.42243645924628"
"still-sweep-5","4nb27sg3","3","0.001","0.5","0.1","0.9275","98.55390008764242"
"revived-sweep-3","cuo8q1pn","2","0.001","0.5","0.1","0.9234","97.41454864154252"
"sweet-sweep-1","gz5uvuwi","0","0.001","0.5","0.1","0.927","98.07186678352322"
"clear-sweep-3","pjlgi1te","1","0.001","0.5","0.1","0.9224","97.06397896581946"
"honest-sweep-1","el1538sp","0","0.001","0","0.1","0.9226","97.72129710780018"
"zany-sweep-6","sa0imck5","3","0.001","0","0.1","0.9259","98.55390008764242"
"comfy-sweep-5","xdq4b19e","2","0.001","0","0.1","0.9247","97.37072743207712"
"dulcet-sweep-2","zv7nb6j5","1","0.001","0","0.1","0.9235","96.49430324276948"
