"Name","ID","momentum"
"curious-sweep-12","8ixnxuc4","0.8"
"pretty-sweep-11","gjr9ldz1","0.8"
"daily-sweep-10","sabcf8yw","0.8"
"divine-sweep-9","6dawghcn","0.8"
"firm-sweep-8","7d923eya","0.7"
"northern-sweep-7","qlrshqys","0.7"
"hopeful-sweep-6","dhu435pm","0.7"
"jolly-sweep-5","o6yca2kq","0.7"
"dainty-sweep-4","2yutroue","0.6"
"still-sweep-3","vbv37o5l","0.6"
"rare-sweep-2","vuq1f1xk","0.6"
"young-sweep-1","sfdts1hf","0.6"
"frosty-sweep-4","mgovfv7g","0.5"
"happy-sweep-3","z2h9kcyc","0.5"
"silvery-sweep-2","h7qbugov","0.5"
"fanciful-sweep-1","2nmza17w","0.5"
"efficient-sweep-8","83548tly","0.9"
"cosmic-sweep-7","lbc0thwz","0.9"
"silver-sweep-6","vflr33l1","0"
"twilight-sweep-5","ncf66w1y","0"
"lively-sweep-6","ae8m5k9f","0.9"
"chocolate-sweep-5","wyyv8bqv","0.9"
"iconic-sweep-4","md6fatsn","0"
"rosy-sweep-3","t0zcp5by","0"
