"Step","sgd - deltas.deltas.stage_3.4.conv_a"
"0","{""values"":[1,1,0,0,0,1,0,0,1,1,1,1,3,1,0,0,1,2,0,0,1,0,1,2,6,3,1,2,2,1,1,1,2,1,0,1,4,1,2,3,0,2,0,3,0,1,1,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1],""_type"":""histogram"",""bins"":[0.23222292959690094,0.25616251840256155,0.28010210720822215,0.30404169601388276,0.32798128481954336,0.35192087362520397,0.3758604624308646,0.3998000512365252,0.4237396400421858,0.4476792288478464,0.471618817653507,0.4955584064591676,0.5194979952648282,0.5434375840704888,0.5673771728761494,0.59131676168181,0.6152563504874706,0.6391959392931312,0.6631355280987918,0.6870751169044524,0.711014705710113,0.7349542945157737,0.7588938833214343,0.7828334721270949,0.8067730609327555,0.8307126497384161,0.8546522385440767,0.8785918273497373,0.9025314161553979,0.9264710049610585,0.9504105937667191,0.9743501825723797,0.9982897713780403,1.022229360183701,1.0461689489893615,1.0701085377950221,1.0940481266006827,1.1179877154063433,1.141927304212004,1.1658668930176646,1.1898064818233252,1.2137460706289858,1.2376856594346464,1.261625248240307,1.2855648370459676,1.3095044258516282,1.3334440146572888,1.3573836034629494,1.38132319226861,1.4052627810742706,1.4292023698799312,1.4531419586855918,1.4770815474912524,1.501021136296913,1.5249607251025736,1.5489003139082342,1.5728399027138948,1.5967794915195554,1.620719080325216,1.6446586691308767,1.6685982579365373,1.6925378467421979,1.7164774355478585,1.740417024353519,1.7643566131591797]}"
"1","{""values"":[1,0,1,2,1,0,1,0,2,0,0,1,1,0,2,1,1,1,3,0,0,1,2,1,0,1,3,2,3,1,3,1,2,0,4,2,4,1,1,0,2,3,1,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.13302093744277954,0.14490508381277323,0.15678923018276691,0.1686733765527606,0.1805575229227543,0.19244166929274797,0.20432581566274166,0.21620996203273535,0.22809410840272903,0.23997825477272272,0.2518624011427164,0.2637465475127101,0.2756306938827038,0.28751484025269747,0.29939898662269115,0.31128313299268484,0.32316727936267853,0.3350514257326722,0.3469355721026659,0.3588197184726596,0.3707038648426533,0.38258801121264696,0.39447215758264065,0.40635630395263433,0.418240450322628,0.4301245966926217,0.4420087430626154,0.4538928894326091,0.46577703580260277,0.47766118217259645,0.48954532854259014,0.5014294749125838,0.5133136212825775,0.5251977676525712,0.5370819140225649,0.5489660603925586,0.5608502067625523,0.572734353132546,0.5846184995025396,0.5965026458725333,0.608386792242527,0.6202709386125207,0.6321550849825144,0.6440392313525081,0.6559233777225018,0.6678075240924954,0.6796916704624891,0.6915758168324828,0.7034599632024765,0.7153441095724702,0.7272282559424639,0.7391124023124576,0.7509965486824512,0.7628806950524449,0.7747648414224386,0.7866489877924323,0.798533134162426,0.8104172805324197,0.8223014269024134,0.834185573272407,0.8460697196424007,0.8579538660123944,0.8698380123823881,0.8817221587523818,0.8936063051223755]}"
"2","{""_type"":""histogram"",""values"":[1,0,0,0,2,0,0,0,1,0,1,1,1,0,1,1,2,0,1,1,1,1,1,3,2,3,1,0,0,1,0,1,1,3,6,2,1,2,2,0,0,1,3,2,1,0,2,0,0,1,1,0,0,0,2,2,2,0,0,0,0,1,0,2],""bins"":[0.08330278098583221,0.09032443561591208,0.09734609024599195,0.10436774487607181,0.11138939950615168,0.11841105413623154,0.1254327087663114,0.13245436339639127,0.13947601802647114,0.146497672656551,0.15351932728663087,0.16054098191671073,0.1675626365467906,0.17458429117687047,0.18160594580695033,0.1886276004370302,0.19564925506711006,0.20267090969718993,0.2096925643272698,0.21671421895734966,0.22373587358742952,0.2307575282175094,0.23777918284758925,0.24480083747766912,0.251822492107749,0.25884414673782885,0.2658658013679087,0.2728874559979886,0.27990911062806845,0.2869307652581483,0.2939524198882282,0.30097407451830804,0.3079957291483879,0.3150173837784678,0.32203903840854764,0.3290606930386275,0.33608234766870737,0.34310400229878724,0.3501256569288671,0.35714731155894697,0.36416896618902683,0.3711906208191067,0.37821227544918656,0.38523393007926643,0.3922555847093463,0.39927723933942616,0.406298893969506,0.4133205485995859,0.42034220322966576,0.4273638578597456,0.4343855124898255,0.44140716711990535,0.4484288217499852,0.4554504763800651,0.46247213101014495,0.4694937856402248,0.4765154402703047,0.48353709490038455,0.4905587495304644,0.4975804041605443,0.5046020587906241,0.511623713420704,0.5186453680507839,0.5256670226808637,0.5326886773109436]}"
"3","{""_type"":""histogram"",""values"":[1,0,0,0,1,0,0,1,0,0,2,2,3,3,1,1,1,3,0,1,5,0,3,3,2,1,2,1,2,1,1,1,1,1,2,1,1,0,2,1,1,0,1,2,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1],""bins"":[0.051191285252571106,0.05972500401549041,0.06825872277840972,0.07679244154132903,0.08532616030424833,0.09385987906716764,0.10239359783008695,0.11092731659300625,0.11946103535592556,0.12799475411884487,0.13652847288176417,0.14506219164468348,0.1535959104076028,0.1621296291705221,0.1706633479334414,0.1791970666963607,0.18773078545928001,0.19626450422219932,0.20479822298511863,0.21333194174803793,0.22186566051095724,0.23039937927387655,0.23893309803679585,0.24746681679971516,0.25600053556263447,0.2645342543255538,0.2730679730884731,0.2816016918513924,0.2901354106143117,0.298669129377231,0.3072028481401503,0.3157365669030696,0.3242702856659889,0.33280400442890823,0.34133772319182754,0.34987144195474684,0.35840516071766615,0.36693887948058546,0.37547259824350476,0.38400631700642407,0.3925400357693434,0.4010737545322627,0.409607473295182,0.4181411920581013,0.4266749108210206,0.4352086295839399,0.4437423483468592,0.4522760671097785,0.46080978587269783,0.46934350463561714,0.47787722339853644,0.48641094216145575,0.49494466092437506,0.5034783796872944,0.5120120984502137,0.520545817213133,0.5290795359760523,0.5376132547389716,0.5461469735018909,0.5546806922648102,0.5632144110277295,0.5717481297906488,0.5802818485535681,0.5888155673164874,0.5973492860794067]}"
"4","{""values"":[2,0,0,1,2,0,1,0,2,0,0,2,2,4,2,6,3,1,3,3,4,0,3,0,3,3,1,1,3,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.06596442312002182,0.07315303443465382,0.08034164574928582,0.08753025706391782,0.09471886837854981,0.10190747969318181,0.10909609100781381,0.11628470232244581,0.12347331363707781,0.1306619249517098,0.1378505362663418,0.1450391475809738,0.1522277588956058,0.1594163702102378,0.1666049815248698,0.1737935928395018,0.1809822041541338,0.1881708154687658,0.1953594267833978,0.2025480380980298,0.2097366494126618,0.2169252607272938,0.2241138720419258,0.2313024833565578,0.23849109467118979,0.24567970598582178,0.2528683173004538,0.2600569286150858,0.2672455399297178,0.2744341512443498,0.2816227625589818,0.2888113738736138,0.2959999851882458,0.30318859650287777,0.31037720781750977,0.31756581913214177,0.32475443044677377,0.33194304176140577,0.33913165307603776,0.34632026439066976,0.35350887570530176,0.36069748701993376,0.36788609833456576,0.37507470964919776,0.38226332096382976,0.38945193227846175,0.39664054359309375,0.40382915490772575,0.41101776622235775,0.41820637753698975,0.42539498885162175,0.43258360016625375,0.43977221148088574,0.44696082279551774,0.45414943411014974,0.46133804542478174,0.46852665673941374,0.47571526805404574,0.48290387936867774,0.49009249068330973,0.49728110199794173,0.5044697133125737,0.5116583246272057,0.5188469359418377,0.5260355472564697]}"
"5","{""_type"":""histogram"",""values"":[3,1,1,1,0,1,2,1,0,1,4,3,3,0,2,2,1,1,3,3,0,2,2,4,0,3,2,2,2,0,2,0,1,1,1,1,1,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.09008238464593887,0.09800982603337616,0.10593726742081344,0.11386470880825073,0.12179215019568801,0.1297195915831253,0.13764703297056258,0.14557447435799986,0.15350191574543715,0.16142935713287443,0.1693567985203117,0.177284239907749,0.18521168129518628,0.19313912268262357,0.20106656407006085,0.20899400545749813,0.21692144684493542,0.2248488882323727,0.23277632961980999,0.24070377100724727,0.24863121239468455,0.25655865378212184,0.2644860951695591,0.2724135365569964,0.2803409779444337,0.288268419331871,0.29619586071930826,0.30412330210674554,0.3120507434941828,0.3199781848816201,0.3279056262690574,0.3358330676564947,0.34376050904393196,0.35168795043136925,0.35961539181880653,0.3675428332062438,0.3754702745936811,0.3833977159811184,0.39132515736855567,0.39925259875599295,0.40718004014343023,0.4151074815308675,0.4230349229183048,0.4309623643057421,0.43888980569317937,0.44681724708061665,0.45474468846805394,0.4626721298554912,0.4705995712429285,0.4785270126303658,0.4864544540178031,0.49438189540524036,0.5023093367926776,0.5102367781801149,0.5181642195675522,0.5260916609549895,0.5340191023424268,0.5419465437298641,0.5498739851173013,0.5578014265047386,0.5657288678921759,0.5736563092796132,0.5815837506670505,0.5895111920544878,0.597438633441925]}"
"6","{""_type"":""histogram"",""values"":[1,1,1,0,1,0,1,2,0,1,2,3,0,2,4,2,1,4,3,2,0,1,4,2,1,2,4,0,0,2,0,3,1,1,2,0,1,0,0,0,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1],""bins"":[0.10270237922668457,0.11128015164285898,0.1198579240590334,0.1284356964752078,0.13701346889138222,0.14559124130755663,0.15416901372373104,0.16274678613990545,0.17132455855607986,0.17990233097225428,0.1884801033884287,0.1970578758046031,0.2056356482207775,0.21421342063695192,0.22279119305312634,0.23136896546930075,0.23994673788547516,0.24852451030164957,0.257102282717824,0.2656800551339984,0.2742578275501728,0.2828355999663472,0.29141337238252163,0.29999114479869604,0.30856891721487045,0.31714668963104486,0.3257244620472193,0.3343022344633937,0.3428800068795681,0.3514577792957425,0.3600355517119169,0.36861332412809134,0.37719109654426575,0.38576886896044016,0.39434664137661457,0.402924413792789,0.4115021862089634,0.4200799586251378,0.4286577310413122,0.43723550345748663,0.44581327587366104,0.45439104828983545,0.46296882070600986,0.4715465931221843,0.4801243655383587,0.4887021379545331,0.4972799103707075,0.5058576827868819,0.5144354552030563,0.5230132276192307,0.5315910000354052,0.5401687724515796,0.548746544867754,0.5573243172839284,0.5659020897001028,0.5744798621162772,0.5830576345324516,0.591635406948626,0.6002131793648005,0.6087909517809749,0.6173687241971493,0.6259464966133237,0.6345242690294981,0.6431020414456725,0.6516798138618469]}"
"7","{""_type"":""histogram"",""values"":[2,1,0,0,1,1,0,2,0,0,1,0,3,0,2,3,1,3,1,4,0,3,4,4,4,1,1,2,2,3,2,2,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1],""bins"":[0.07304035872220993,0.08202857163269073,0.09101678454317153,0.10000499745365232,0.10899321036413312,0.11798142327461392,0.12696963618509471,0.1359578490955755,0.1449460620060563,0.1539342749165371,0.1629224878270179,0.1719107007374987,0.1808989136479795,0.1898871265584603,0.1988753394689411,0.2078635523794219,0.2168517652899027,0.22583997820038348,0.23482819111086428,0.24381640402134508,0.2528046169318259,0.2617928298423067,0.27078104275278747,0.27976925566326827,0.28875746857374907,0.29774568148422986,0.30673389439471066,0.31572210730519146,0.32471032021567225,0.33369853312615305,0.34268674603663385,0.35167495894711465,0.36066317185759544,0.36965138476807624,0.37863959767855704,0.38762781058903784,0.39661602349951863,0.40560423640999943,0.4145924493204802,0.423580662230961,0.4325688751414418,0.4415570880519226,0.4505453009624034,0.4595335138728842,0.468521726783365,0.4775099396938458,0.4864981526043266,0.4954863655148074,0.5044745784252882,0.513462791335769,0.5224510042462498,0.5314392171567306,0.5404274300672114,0.5494156429776922,0.558403855888173,0.5673920687986538,0.5763802817091346,0.5853684946196154,0.5943567075300962,0.603344920440577,0.6123331333510578,0.6213213462615386,0.6303095591720194,0.6392977720825002,0.648285984992981]}"
"8","{""values"":[2,0,1,1,1,0,1,1,1,0,0,1,0,3,0,1,3,2,0,0,1,1,0,1,3,3,3,1,2,4,0,0,1,0,3,1,3,3,2,0,1,1,0,2,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,2],""_type"":""histogram"",""bins"":[0.06923381984233856,0.07662006304599345,0.08400630624964833,0.09139254945330322,0.0987787926569581,0.10616503586061299,0.11355127906426787,0.12093752226792276,0.12832376547157764,0.13571000867523253,0.14309625187888741,0.1504824950825423,0.15786873828619719,0.16525498148985207,0.17264122469350696,0.18002746789716184,0.18741371110081673,0.1947999543044716,0.2021861975081265,0.20957244071178138,0.21695868391543627,0.22434492711909115,0.23173117032274604,0.23911741352640092,0.2465036567300558,0.2538898999337107,0.2612761431373656,0.26866238634102046,0.27604862954467535,0.28343487274833024,0.2908211159519851,0.29820735915564,0.3055936023592949,0.3129798455629498,0.32036608876660466,0.32775233197025955,0.33513857517391443,0.3425248183775693,0.3499110615812242,0.3572973047848791,0.364683547988534,0.37206979119218886,0.37945603439584374,0.38684227759949863,0.3942285208031535,0.4016147640068084,0.4090010072104633,0.41638725041411817,0.42377349361777306,0.43115973682142794,0.4385459800250828,0.4459322232287377,0.4533184664323926,0.4607047096360475,0.46809095283970237,0.47547719604335725,0.48286343924701214,0.490249682450667,0.4976359256543219,0.5050221688579768,0.5124084120616317,0.5197946552652866,0.5271808984689415,0.5345671416725963,0.5419533848762512]}"
"9","{""values"":[1,1,0,1,1,0,1,0,1,0,0,2,0,0,1,0,2,4,1,3,1,0,3,3,3,3,0,2,4,1,2,2,2,1,0,1,2,1,2,1,0,0,2,2,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.06011608615517616,0.06752260815119371,0.07492913014721125,0.0823356521432288,0.08974217413924634,0.09714869613526389,0.10455521813128144,0.11196174012729898,0.11936826212331653,0.12677478411933407,0.13418130611535162,0.14158782811136916,0.1489943501073867,0.15640087210340425,0.1638073940994218,0.17121391609543934,0.1786204380914569,0.18602696008747444,0.19343348208349198,0.20084000407950953,0.20824652607552707,0.21565304807154462,0.22305957006756216,0.2304660920635797,0.23787261405959725,0.2452791360556148,0.25268565805163234,0.2600921800476499,0.26749870204366744,0.274905224039685,0.2823117460357025,0.28971826803172007,0.2971247900277376,0.30453131202375516,0.3119378340197727,0.31934435601579025,0.3267508780118078,0.33415740000782534,0.3415639220038429,0.34897044399986044,0.356376965995878,0.3637834879918955,0.37119000998791307,0.3785965319839306,0.38600305397994816,0.3934095759759657,0.40081609797198325,0.4082226199680008,0.41562914196401834,0.4230356639600359,0.43044218595605344,0.437848707952071,0.4452552299480885,0.45266175194410607,0.4600682739401236,0.46747479593614116,0.4748813179321587,0.48228783992817625,0.4896943619241938,0.49710088392021134,0.5045074059162289,0.5119139279122464,0.519320449908264,0.5267269719042815,0.5341334939002991]}"
