"Name","ID","seed","optim","val-size","random-mask","delta-of-delta","velocity","velocity-mu","eps","topk","frozen_neurons_perc.total","test.accuracy.top1","epochs"
"charmed-sweep-32","l8enkmgt","3","sgd","0.001","0","","1","0.5","0","0","0.7887817703768624","0.9304","249"
"lucky-sweep-31","9j48n3b2","2","sgd","0.001","0","","1","0.5","0","0","0.7011393514461","0.9321","249"
"dark-sweep-30","w1y939hc","1","sgd","0.001","0","","1","0.5","0","0","1.4022787028922","0.9287","249"
"giddy-sweep-29","4nrwj0si","0","sgd","0.001","0","","1","0.5","0","0","0.5696757230499562","0.9307","249"
"toasty-sweep-28","tcxhc1ui","3","sgd","0.001","0","","1","0.5","0.0001","0","19.544259421560035","0.9317","249"
"kind-sweep-27","947ax483","2","sgd","0.001","0","","1","0.5","0.0001","0","15.425065731814197","0.9274","249"
"fast-sweep-26","uth32yos","1","sgd","0.001","0","","1","0.5","0.0001","0","23.22524101665206","0.9319","249"
"copper-sweep-25","8y2z3fse","0","sgd","0.001","0","","1","0.5","0.0001","0","22.48028045574058","0.927","249"
"smart-sweep-24","hb1ew8hd","3","sgd","0.001","0","","1","0.5","0.0005","0","91.27957931638912","0.9336","249"
"valiant-sweep-23","o0rkxpor","2","sgd","0.001","0","","1","0.5","0.0005","0","94.08413672217353","0.9319","249"
"mild-sweep-22","rdu7f2d4","1","sgd","0.001","0","","1","0.5","0.0005","0","92.46275197195445","0.9306","249"
"skilled-sweep-21","j4mzf9ma","0","sgd","0.001","0","","1","0.5","0.0005","0","95.3111305872042","0.9279","249"
"whole-sweep-20","xu9a9832","3","sgd","0.001","0","","1","0.5","0.005","0","99.5617879053462","0.9192","249"
"sparkling-sweep-19","r6jqo9z4","2","sgd","0.001","0","","1","0.5","0.005","0","99.5617879053462","0.921","249"
"happy-sweep-18","8ne55nt5","1","sgd","0.001","0","","1","0.5","0.005","0","99.5617879053462","0.9178","249"
"giddy-sweep-17","v0wmt4is","0","sgd","0.001","0","","1","0.5","0.005","0","99.5617879053462","0.9211","249"
"easy-sweep-16","n89pksiw","3","sgd","0.001","0","","1","0.5","0.01","0","99.5617879053462","0.9181","249"
"genial-sweep-15","gb1jdjsa","2","sgd","0.001","0","","1","0.5","0.01","0","99.5617879053462","0.9128","249"
"bright-sweep-14","oprb9p0c","1","sgd","0.001","0","","1","0.5","0.01","0","99.5617879053462","0.9119","249"
"devout-sweep-13","w1gyneuw","0","sgd","0.001","0","","1","0.5","0.01","0","99.5617879053462","0.9128","249"
"desert-sweep-12","gpuzicln","3","sgd","0.001","0","","1","0.5","0.05","0","99.5617879053462","0.8706999999999999","249"
"misunderstood-sweep-11","p3am1r2w","2","sgd","0.001","0","","1","0.5","0.05","0","99.5617879053462","0.8608","249"
"smart-sweep-10","c0zrwm2v","1","sgd","0.001","0","","1","0.5","0.05","0","99.5617879053462","0.8645999999999999","249"
"unique-sweep-9","wegkyyet","0","sgd","0.001","0","","1","0.5","0.05","0","99.5617879053462","0.8634000000000001","249"
"jumping-sweep-8","1rwbwdns","3","sgd","0.001","0","","1","0.5","0.1","0","99.5617879053462","0.8464","249"
"swept-sweep-7","lkekotli","2","sgd","0.001","0","","1","0.5","0.1","0","99.5617879053462","0.8331000000000001","249"
"deep-sweep-6","k18gpzg4","1","sgd","0.001","0","","1","0.5","0.1","0","99.5617879053462","0.8358","249"
"worthy-sweep-5","8ee2bjyv","0","sgd","0.001","0","","1","0.5","0.1","0","99.5617879053462","0.8440000000000001","249"
"brisk-sweep-4","yuechgx4","3","sgd","0.001","0","","1","0.5","0.5","0","99.5617879053462","0.7773","249"
"different-sweep-3","gmnhxj6f","2","sgd","0.001","0","","1","0.5","0.5","0","99.5617879053462","0.7424","249"
"azure-sweep-2","70hqwz31","1","sgd","0.001","0","","1","0.5","0.5","0","99.5617879053462","0.6951","249"
"magic-sweep-1","i8p92si2","0","sgd","0.001","0","","1","0.5","0.5","0","99.5617879053462","0.7734000000000001","249"
"stoic-sweep-4","o1jma1kw","3","sgd","0.001","0","","1","0.5","none","0.6084","38.21209465381244","0.9244","249"
